Key,Value
26 Graphical model structure learning 907,26.5 Learning DAG structure with latent variables 922
26 Graphical model structure learning 907,26.6 Learning causal DAGs 931
26 Graphical model structure learning 907,26.7 Learning undirected Gaussian graphical models 938
26 Graphical model structure learning 907,26.8 Learning undirected discrete graphical models 942
27 Latent variable models for discrete data 945,27.1 Introduction 945
27 Latent variable models for discrete data 945,27.2 Distributed state LVMs for discrete data 946
27 Latent variable models for discrete data 945,27.3 Latent Dirichlet allocation (LDA) 950
27 Latent variable models for discrete data 945,27.4 Extensions of LDA 961
27 Latent variable models for discrete data 945,27.5 LVMs for graph-structured data 970
27 Latent variable models for discrete data 945,27.6 LVMs for relational data 975
27 Latent variable models for discrete data 945,27.7 Restricted Boltzmann machines (RBMs) 983
28 Deep learning 995,28.1 Introduction 995
28 Deep learning 995,28.2 Deep generative models 995
28 Deep learning 995,28.3 Deep neural networks 999
28 Deep learning 995,28.4 Applications of deep networks 1001
28 Deep learning 995,28.5 Discussion 1005
